filepath,cluster,weak_label,distance
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\06738ba6-51e3-493c-a215-6fcd19d005ca.jpg,0,1,25.24016
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\06a76102-9548-4dab-9572-e78259fa082e.jpg,1,0,14.421624
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\06b17341-f3bb-4f31-8198-1ebdccbe2367.jpg,0,1,21.292858
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\06c78a2d-9a5c-4249-b2ea-a4b267021c70.jpg,1,0,17.365734
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\070e4686-675c-4c4a-a61b-d9d8ed236c7a.jpg,1,0,24.712723
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\0746ecad-9485-4245-a119-cdbe6f074d7a.jpg,1,0,24.99384
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\07eab220-96c1-466e-b2eb-ab8789548e89.jpg,1,0,14.396934
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\07ee903a-9246-4463-8250-6cd90eeaf08c.jpg,0,1,16.54129
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\0822f067-f5e2-477d-8005-3ad857c4c1fa.jpg,1,0,18.396599
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\0905a879-d869-4756-ab7a-b2f01e7dd122.jpg,1,0,23.403685
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\096ae32e-065a-4a00-959a-e63b1b5c77d6.jpg,1,0,16.738676
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\09d56396-71e1-4c05-bf3f-ad755cb175a3.jpg,1,0,24.72835
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\09dece73-b184-494f-b636-f5d3113b6f3e.jpg,1,0,14.360819
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\101be262-63cd-4a5d-ba17-15a92e881c50.jpg,0,1,19.838602
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\107d8f7a-af33-493c-aed2-895db3dd948f.jpg,1,0,26.103268
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\10ac7600-4206-4e17-a866-e4bbc536eaa7.jpg,1,0,29.39003
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\111a5049-e459-445e-919c-28af38320bd1.jpg,0,1,22.716415
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\1194593c-7ccd-4bbd-bbec-fd08b75afe1e.jpg,0,1,18.974293
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\11f03e5d-e170-46cd-a732-e0a47e31ddd0.jpg,1,0,20.790693
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\11f2b893-2739-4cef-9433-3b4a724270e9.jpg,0,1,15.716151
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\12067690-f1f6-4efc-b570-afc510336f10.jpg,1,0,26.608822
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\122a8afc-70ef-4cab-ba59-fc621d43fe19.jpg,1,0,21.55601
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\13eb3ad4-a065-4e25-888f-b125463dba24.jpg,0,1,19.550821
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\141ef676-419a-4247-af1b-b5635821ba29.jpg,1,0,15.673587
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\14f9055c-e72f-4d6e-8120-3cabaa1a1911.jpg,1,0,22.377325
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\15127f32-b7fc-4c5a-9721-c885bfedef71.jpg,1,0,22.255896
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\16a16991-7c89-47c9-b96d-256ea1566f7c.jpg,1,0,26.818638
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\16c95930-a0c3-49d7-9d09-813d796db9e7.jpg,0,1,17.475422
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\16d0e74d-62f5-40d8-8f2f-3ca4752c3203.jpg,1,0,21.55661
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\176911ef-fb4a-4bd2-b480-df63e7ef8ea7.jpg,1,0,28.062477
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\1782f7fc-1cda-46c0-a644-e2d6d6ab8301.jpg,0,1,18.873604
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\18011cd7-53f6-4189-93f0-9e5456154720.jpg,1,0,27.013926
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\18599c4b-13b7-434f-a6fc-4ab53c41aa95.jpg,1,0,31.592617
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\1890fd3b-fbd5-49e8-86d8-ffedb7e73814.jpg,1,0,28.492214
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\189fe672-dc1c-48b9-a4e7-aaa7ebee30f3.jpg,1,0,23.526842
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\194106ce-8b9a-4a6f-b82d-643f09169c9f.jpg,1,0,23.459856
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\195f3bcf-ce89-41d8-a330-8fe8389a9a63.jpg,1,0,22.965645
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\19c67523-55dc-44b2-8887-a1e7f3f7eddf.jpg,0,1,16.850075
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\2003b9d5-b9f6-40c3-b0e1-dd6118850112.jpg,1,0,13.15018
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\20f6276d-b530-40a1-9000-6fa99c78af38.jpg,1,0,13.360953
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\21012c06-2739-4789-8c6c-7d9dd3a8c0c9.jpg,0,1,18.517082
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\210facbb-8d77-4a08-9f8e-f52d0c9872c9.jpg,0,1,19.096828
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\214ae8cc-6d28-4f2a-8172-7023efb00d06.jpg,1,0,23.615343
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\2150e80f-cc5c-4be3-a102-f288c418631c.jpg,0,1,18.930555
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\21915aea-8e4a-462a-a9f0-f28f88d739a5.jpg,0,1,13.060144
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\21e0f7bc-571d-4917-b59d-94acf6e2ebb6.jpg,1,0,20.161922
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\224880e9-c10f-4de6-b2f2-32d06dd8a295.jpg,1,0,24.265757
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\227fd1b8-0717-4aad-839f-606c00e59b2c.jpg,0,1,23.21541
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\22efad41-71a8-4ac4-8ba7-731a22fc8f0f.jpg,1,0,30.57417
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\23506eb1-8cd8-4558-836c-1835ee1ca61b.jpg,0,1,30.599064
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\2376fe70-b559-4581-bb79-205dc68cb714.jpg,1,0,28.484938
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\23ca8438-4ed8-44b3-98fc-be7c9ec11e73.jpg,1,0,20.551382
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\2430d4d6-160d-4b17-b479-6ba9a4181379.jpg,0,1,19.695131
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\2433d50c-ce05-4641-8db6-515a8a1bf78e.jpg,0,1,18.912445
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\24747dd0-93e1-43bd-b824-15b973b1585e.jpg,1,0,21.528297
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\249b655c-d37c-4e75-be45-0e687624b238.jpg,0,1,16.740915
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\24e82706-723d-419a-8f93-519ebabbd8a4.jpg,1,0,14.354939
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\2572db89-6df6-47a4-b395-a834b8541a28.jpg,1,0,26.8899
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\269f1282-607d-4700-a8fa-3b560422946c.jpg,1,0,23.83402
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\26ff3a8d-93cb-43de-aa5a-e71b74348b3b.jpg,1,0,25.806007
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\27ca19d4-03b2-4968-90c0-855c32d76c13.jpg,0,1,18.216446
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\27d67b82-affc-4e61-862d-6e2945bede3c.jpg,1,0,21.629507
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\281e0073-c700-4afe-80a6-560e62e13c9a.jpg,1,0,21.594034
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\28f55fc6-1d27-4aed-9b19-96b9075a5622.jpg,0,1,14.825741
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\2912ea6b-9800-49be-95bf-43b21cc4d196.jpg,1,0,14.561241
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\2918e699-5fee-4936-90a8-7e61827ee531.jpg,1,0,21.488766
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\29db9197-93a5-47c7-bb20-038cf02d25a1.jpg,1,0,22.332949
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\2eadfe64-153b-4bd5-901e-13081fb7255b.jpg,1,0,15.189704
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\2eba5393-94d5-4341-b3cd-2f6f26e27b78.jpg,0,1,16.730549
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\2ebe1d0a-8b43-4ca1-b375-8aad317ab286.jpg,1,0,21.52698
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\2f0c7977-339e-4e46-b412-c8fd1a8d05b0.jpg,1,0,25.592842
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\2f4afc63-e538-4ff1-9171-cfec5ea3ac60.jpg,1,0,23.406693
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\2f8b9176-5606-4628-9a01-8ba1870e4eba.jpg,1,0,15.960353
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\2fac4138-8d2b-45bb-811b-0f0890b0af58.jpg,1,0,15.107274
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\3058ed0b-2e00-4383-9cb6-8d425be1d69b.jpg,1,0,27.42355
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\30c19127-f3e9-421f-9847-dcf07db7d493.jpg,0,1,21.56837
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\30f4d898-458b-420e-b687-9fd4a12eedcc.jpg,1,0,19.197765
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\30ffee72-6e84-4d01-88a3-a09769c1b6cf.jpg,0,1,17.458073
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\31456af0-7c27-436d-9ca4-d9bb1477ad63.jpg,1,0,22.799501
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\31cb7436-c933-4e01-a60a-d8e7ede8fe68.jpg,1,0,24.038214
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\31d0ec8d-0411-438f-9ab2-ac02f0bb5775.jpg,1,0,20.783121
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\31e15e3c-5481-462d-99cb-29091c42cab8.jpg,1,0,17.809326
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\322e02de-5c43-40b3-ba94-1c8992d000a9.jpg,1,0,19.090364
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\32caf3b1-12a7-4479-8100-ba6bc4871c19.jpg,1,0,21.360067
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\32e39df2-7d70-4840-9499-a67e3732c15e.jpg,0,1,13.123229
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\3387325e-d04f-474f-b92c-ddcd30ec1459.jpg,1,0,20.71187
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\33a155f9-8a6b-44fc-a8ae-7113b07b8f91.jpg,0,1,18.212114
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\3439c8c8-38fc-4eee-9cf8-2aa45984ef2f.jpg,1,0,25.307579
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\349a5dee-ae7f-4de8-a34f-b34f593d1b60.jpg,1,0,14.801836
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\34e338eb-7878-434e-91c2-02c21dd0ef90.jpg,1,0,37.450554
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\3606e8dc-a4e9-445b-a8ee-bf5c97132bbd.jpg,0,1,25.26941
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\36237878-c00d-4943-9ae5-66858bf5f88c.jpg,1,0,20.233116
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\363de948-eb0e-44f4-91dd-c2dc770cd908.jpg,1,0,19.25497
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\39212733-698a-40da-9b79-43ba2eb9917c.jpg,0,1,12.170324
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\3a572471-d25c-44a5-a164-1c015e03e655.jpg,1,0,27.423548
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\3a6c4f41-df0e-4234-aff8-ada90e4a99db.jpg,1,0,17.95409
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\3afd9d56-d6e9-4d81-bdf7-2ee60e20f366.jpg,0,1,18.571333
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\3b0a6481-33b8-47b5-b1b5-a87f612468c8.jpg,0,1,12.166592
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\3b763d9e-91a1-403e-8c0c-edd716c08251.jpg,1,0,25.044033
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\3d09671b-9479-4ec9-a9cf-2934ad88657b.jpg,0,1,29.056145
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\3d6aa1fe-6c9f-4afa-a499-dc909d838e98.jpg,0,1,15.375697
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\3d793a95-4fa0-4cd9-8017-0dd7e5fd1d20.jpg,0,1,19.487387
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\3de3c09a-52bc-4915-bb84-61a0cfedf855.jpg,0,1,18.977139
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\3e3bc53d-e0df-450f-b93b-9d3e6060e195.jpg,1,0,29.099209
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\3ead2ab0-c386-48b7-8e2f-77b0a7219695.jpg,0,1,19.405102
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\3efef3cf-866e-477d-8371-ce2de57bdb8b.jpg,1,0,14.443674
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\3f29902a-53f3-4335-9b45-fea429402145.jpg,1,0,22.975603
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\3fc6f478-c3ef-4df8-a016-17c9c28805d5.jpg,0,1,21.045837
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\40a84ff8-47bf-4962-80d1-98ab2bf63a4d.jpg,1,0,32.968086
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\40b1313e-6c50-488f-9066-bfefc7c5b2e1.jpg,1,0,24.454102
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\40e7db67-c2e3-4f79-943d-d6ac5b35cf2e.jpg,1,0,24.748892
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\41393bf4-fb5c-46a7-8f81-5262658865f8.jpg,0,1,24.248886
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4167f137-70aa-4295-9237-e6f3d8ddec87.jpg,0,1,15.217069
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4171779c-96fe-4b29-afa0-c71919507cc3.jpg,0,1,10.516144
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\420bc65c-4456-45ff-b5b4-19ba112649c3.jpg,1,0,21.507479
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4235abf9-6849-4a61-b70e-96317f1548c6.jpg,0,1,16.467636
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\425c79ee-7d27-4f56-bc4a-1379504fc2a7.jpg,1,0,39.66358
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\42d9ce05-9a99-4f86-b7fa-807a3f62396b.jpg,1,0,27.740936
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\438833fd-6e2c-4a08-915e-dd984764fa0e.jpg,1,0,19.803865
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\44139282-f2e8-4ab1-b16c-d459a0a33a89.jpg,0,1,18.225834
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4424d3a7-1d99-4e69-9e1b-ca4b6f3c9cbf.jpg,1,0,23.720732
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\445cf17d-d94e-4c4d-928f-75ef64f771e9.jpg,0,1,12.197534
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\448dad51-615d-4a17-84bc-588412fb79f4.jpg,1,0,18.17327
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\45d918bb-f290-4a21-8cc9-a139377498d8.jpg,1,0,20.071112
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\470fdac5-3acb-4d5a-aa31-aaf866697c44.jpg,0,1,13.9218
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\473788b6-9e8e-449e-82fe-c4f75c13ad96.jpg,0,1,19.945568
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\478a4925-c244-4ad7-9df0-a22840d9a508.jpg,0,1,18.524569
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\48707112-26c5-4351-ba2d-ea391da2c900.jpg,1,0,16.872206
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\48db0c1b-9bf0-4260-8de9-59ba582b8c64.jpg,0,1,22.936583
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4940c0e4-2564-446d-a31e-49730bace275.jpg,1,0,22.553883
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\49439d86-3c4a-4e7a-ae95-f5c545a07faf.jpg,0,1,12.171413
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4969375d-41fa-4be7-bd79-ac39227781ab.jpg,0,1,22.146193
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\49a9090d-d087-46e5-9309-8a6ba68df5cb.jpg,1,0,23.678194
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4a0dcb3d-b143-4a64-8665-d150a0397f9d.jpg,0,1,19.30651
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4a4822ad-22e0-4dac-a072-18fe2824cc9f.jpg,1,0,27.005278
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4a607152-f955-4c6c-becd-44d73e22988d.jpg,1,0,16.867823
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4a84d005-84db-4ce5-81c1-ef1b39b9c219.jpg,1,0,23.017319
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4ab4a1fe-973b-4d6f-9efd-3803308a3554.jpg,1,0,19.378069
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4c7dd03b-a2d7-4008-9f72-b62d0f958e63.jpg,1,0,15.106047
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4d16f5d0-bb48-4571-a231-ed67a5d6dd5e.jpg,1,0,25.846945
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4d276aed-3ddd-4af8-a79b-2649a9cfcd2b.jpg,1,0,22.718586
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4de2f2d2-e55a-419f-9180-cb248afd5546.jpg,0,1,28.170094
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4dea203c-6caf-4232-a8d8-af8b1eb5b286.jpg,1,0,24.995548
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4e2a2ed8-cc16-4b42-b67e-59f949e07654.jpg,1,0,17.431938
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4e3b417f-147f-4fe8-8539-e21bdf25ae7c.jpg,1,0,17.541132
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4e485909-c17c-473b-a216-2ff0609db39f.jpg,1,0,11.711789
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4f5106a7-6369-43e6-88d8-d751965465ab.jpg,1,0,18.417274
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\4f57aa56-f70c-40b1-bf05-e8b4b5a96665.jpg,1,0,17.166632
